"filename", "language", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"c:\Git\DietTrack\src\app\modules\shared\back-button\back-button.component.spec.ts", "TypeScript", 26, 0, 0, 0, 6, 32
"c:\Git\DietTrack\src\app\modules\shared\back-button\back-button.component.ts", "TypeScript", 17, 0, 0, 0, 8, 25
"c:\Git\DietTrack\src\app\modules\shared\search-bar\search-bar.component.html", "HTML", 0, 10, 0, 0, 0, 10
"c:\Git\DietTrack\src\app\modules\shared\search-bar\search-bar.component.scss", "SCSS", 0, 0, 6, 0, 1, 7
"c:\Git\DietTrack\src\app\modules\shared\search-bar\search-bar.component.spec.ts", "TypeScript", 24, 0, 0, 0, 6, 30
"c:\Git\DietTrack\src\app\modules\shared\search-bar\search-bar.component.ts", "TypeScript", 17, 0, 0, 0, 6, 23
"c:\Git\DietTrack\src\app\modules\shared\shared.module.ts", "TypeScript", 20, 0, 0, 0, 2, 22
"c:\Git\DietTrack\src\app\services\calories\calories.service.spec.ts", "TypeScript", 159, 0, 0, 0, 24, 183
"c:\Git\DietTrack\src\app\services\calories\calories.service.ts", "TypeScript", 128, 0, 0, 0, 20, 148
"c:\Git\DietTrack\src\app\services\food\food.service.spec.ts", "TypeScript", 17, 0, 0, 0, 5, 22
"c:\Git\DietTrack\src\app\services\food\food.service.ts", "TypeScript", 15, 0, 0, 0, 5, 20
"c:\Git\DietTrack\src\app\services\goals\goals.service.spec.ts", "TypeScript", 42, 0, 0, 0, 8, 50
"c:\Git\DietTrack\src\app\services\goals\goals.service.ts", "TypeScript", 128, 0, 0, 0, 13, 141
"c:\Git\DietTrack\src\app\services\grim-reaper\grim-reaper.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Git\DietTrack\src\app\services\grim-reaper\grim-reaper.service.ts", "TypeScript", 127, 0, 0, 0, 19, 146
"c:\Git\DietTrack\src\app\services\macronutrients\macronutrients.service.spec.ts", "TypeScript", 43, 0, 0, 0, 10, 53
"c:\Git\DietTrack\src\app\services\macronutrients\macronutrients.service.ts", "TypeScript", 150, 0, 0, 0, 18, 168
"c:\Git\DietTrack\src\app\services\micronutrients\micronutrients.service.spec.ts", "TypeScript", 50, 0, 0, 0, 9, 59
"c:\Git\DietTrack\src\app\services\micronutrients\micronutrients.service.ts", "TypeScript", 124, 0, 0, 0, 18, 142
"c:\Git\DietTrack\src\app\services\review\review.service.spec.ts", "TypeScript", 22, 0, 0, 0, 5, 27
"c:\Git\DietTrack\src\app\services\review\review.service.ts", "TypeScript", 22, 0, 0, 0, 7, 29
"c:\Git\DietTrack\src\app\services\search\search.service.spec.ts", "TypeScript", 72, 0, 0, 0, 9, 81
"c:\Git\DietTrack\src\app\services\search\search.service.ts", "TypeScript", 47, 0, 0, 0, 9, 56
"c:\Git\DietTrack\src\app\services\session-storage\session-storage.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Git\DietTrack\src\app\services\session-storage\session-storage.service.ts", "TypeScript", 31, 0, 0, 0, 8, 39
"c:\Git\DietTrack\src\app\services\user-info\user-info.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Git\DietTrack\src\app\services\user-info\user-info.service.ts", "TypeScript", 14, 0, 0, 0, 6, 20
"Total", "-", 4613, 1074, 579, 2, 962, 7230
